Date,Player,Club Name,Brand/Model,Club Type,Club Speed,Attack Angle,Club Path,Club Face,Face to Path,Ball Speed,Smash Factor,Launch Angle,Launch Direction,Backspin,Sidespin,Spin Rate,Spin Rate Type,Spin Axis,Apex Height,Carry Distance,Carry Deviation Angle,Carry Deviation Distance,Total Distance,Total Deviation Angle,Total Deviation Distance,Target Total Distance,Target Carry Distance,Note,Tag,Air Density,Temperature,Air Pressure,Relative Humidity,Back Stroke Length,Target Backswing Time,Target Downswing Time,Forward Stroke Length,Backswing Time,Downswing Time,Target Tempo,Swing Tempo
,,,,,[mph],[deg],[deg],[deg],[deg],[mph],,[deg],[deg],[rpm],[rpm],[rpm],,[deg],[yds],[Yards],[deg],[Yards],[Yards],[deg],[Yards],[Yards],[Yards],,,[g/L],[deg F],[kPa],[%],[Inches],[sec],[sec],[Inches],[sec],[sec],,
4/21/26 12:36:16,Jerry Gamblin,,,Pitching Wedge,57.69014955846941,5.510329723358154,-3.6596834659576416,-1.144282341003418,2.5154011249542236,72.87763917795999,1.2632596679975312,5.0858378410339355,-1.3978646993637085,1680.92431640625,-680.1266479492188,1813.3060302734375,Estimated,22.028980255126953,0.700332674141631,33.03193879148362,-0.1266688108444214,-0.0733189685685741,90.23597964255933,0.6818494200706482,1.0737678979638368,,,,,1.1670977,72.0,99.74439,78,,,,,553.0,264.0,,2.1
4/21/26 12:36:32,Jerry Gamblin,,,Pitching Wedge,58.86121229691939,2.933342933654785,-7.275821208953857,15.007548332214355,22.283369064331055,63.66942981864695,1.081687368202221,36.19784164428711,11.417140007019043,999.9999389648438,-513.4089965820312,1124.0946044921875,Estimated,27.176372528076172,16.440399258364113,76.97121260568747,15.02978229522705,19.960255343352923,91.75953068236771,15.56644344329834,24.624200422098422,,,,,1.1670977,72.0,99.74439,78,,,,,526.0,232.0,,2.3
4/21/26 12:36:48,Jerry Gamblin,,,Pitching Wedge,62.8071677795716,0.029635224491357803,-1.1158019304275513,-0.6337842345237732,0.4820176959037781,82.1923987730623,1.3086467942882762,16.593475341796875,-0.6602216958999634,1284.796630859375,-741.777587890625,1483.5552978515625,Estimated,30.0,7.818348034368934,90.1821884061825,3.3116846084594727,5.209650371748423,136.2259765518202,4.642326831817627,11.025513876767297,,,,,1.1670977,72.0,99.74439,78,,,,,558.0,202.0,,2.8
4/21/26 12:37:03,Jerry Gamblin,,,Pitching Wedge,59.6948410667687,3.8926305770874023,-2.511384963989258,5.87250280380249,8.383888244628906,67.9656873879129,1.1385521122653337,29.042129516601562,4.509565353393555,1913.619873046875,-681.0379028320312,2031.195068359375,Estimated,19.590129852294922,14.087160949840529,81.97433157960053,8.175772666931152,11.657624524200786,97.46897773375557,8.718076705932617,14.773654186819483,,,,,1.1670977,72.0,99.74439,78,,,,,532.0,241.0,,2.2
4/21/26 12:37:22,Jerry Gamblin,,,Pitching Wedge,56.51880948988983,4.96535587310791,-2.5919952392578125,6.288645267486572,8.880640029907227,59.25936449743119,1.0484892557411634,28.765695571899414,4.841307163238525,1435.224609375,-327.11627197265625,1472.03076171875,Estimated,12.839522361755371,10.169237617432602,64.45271866632363,6.517101764678955,7.315357839028667,81.58606181307415,6.842807292938232,9.72061749622682,,,,,1.1670977,72.0,99.74439,78,,,,,1173.0,230.0,,5.1
4/21/26 12:37:42,Jerry Gamblin,,,Pitching Wedge,60.10284062018972,6.873196125030518,-7.718693256378174,9.984382629394531,17.703075408935547,68.54862252046316,1.1405221752104067,29.08000373840332,7.235581874847412,2790.739013671875,-793.67919921875,2901.405029296875,Estimated,15.875619888305664,14.880000762739206,82.16410692804024,10.826510429382324,15.433355057750578,95.06299844042627,11.263269424438477,18.56747574693575,,,,,1.1670977,72.0,99.74439,78,,,,,540.0,239.0,,2.3
4/21/26 12:38:03,Jerry Gamblin,,,Pitching Wedge,60.30255671305237,2.9921531677246094,-1.3564647436141968,2.3479440212249756,3.704408645629883,69.99015893437816,1.1606499417167986,20.47274398803711,1.7589242458343506,1098.2740478515625,-571.2891235351562,1237.9730224609375,Estimated,27.48209571838379,7.780881065709072,74.18029264515154,4.768838405609131,6.167054802101116,110.70773774661835,5.7404046058654785,11.073190291931207,,,,,1.1670977,72.0,99.74439,78,,,,,558.0,206.0,,2.7
4/21/26 12:38:35,Jerry Gamblin,,,Pitching Wedge,54.67906967605449,5.307612419128418,-2.838076591491699,7.303752422332764,10.141828536987305,69.36699386656754,1.2686205942700102,14.969352722167969,5.64434814453125,1000.0,-561.1065063476562,1146.6649169921875,Estimated,29.297067642211914,4.256843790503208,59.45441395383286,7.970703601837158,8.244339249578362,101.54530549403981,8.914007186889648,15.734628116677753,,,,,1.1670977,72.0,99.74439,78,,,,,510.0,281.0,,1.8
4/21/26 12:38:59,Jerry Gamblin,,,Pitching Wedge,64.35821119511904,-4.857356071472168,6.205348968505859,-0.5747041702270508,-6.78005313873291,75.77526117105013,1.1773984976263132,5.919768333435059,0.30438166856765747,1000.0000610351562,577.3502197265625,1154.7005615234375,Estimated,-30.0,0.8806547154904664,35.33363759465522,-0.9563395380973816,-0.5897815719781376,96.86589345322923,-1.7681289911270142,-2.9887826111060116,,,,,1.1670977,72.0,99.74439,78,,,,,601.0,175.0,,3.4
4/21/26 12:39:26,Jerry Gamblin,,,Pitching Wedge,61.21187100857603,-3.0892512798309326,-0.6497637033462524,5.260833263397217,5.91059684753418,63.37127006301388,1.0352774554813937,29.643911361694336,4.240065097808838,1895.175048828125,95.61249542236328,1897.5853271484375,Estimated,-2.8881514072418213,12.633060011442357,73.43060284044695,3.750558614730835,4.803366757023261,88.795697803781,3.663029193878174,5.67310490528951,,,,,1.1670977,72.0,99.74439,78,,,,,555.0,199.0,,2.8
